Date,Closed_Equity,Open_Positions,Margin_Used,Equity,Peak_Equity,Drawdown_Pct,Daily_Return,Rolling_Sharpe_30D
2025-04-01,10000000.0,0,0.0,10000000.0,10000000.0,0.0,0.0,
2025-04-02,10000000.0,0,0.0,10000000.0,10000000.0,0.0,0.0,
2025-04-03,10000000.0,0,0.0,10000000.0,10000000.0,0.0,0.0,
2025-04-04,10000000.0,1,379641.26,10000000.0,10000000.0,0.0,0.0,
2025-04-07,9783719.79,0,0.0,9783719.79,10000000.0,-2.1628021000000053,-0.021628021000000053,
2025-04-08,9783719.79,0,0.0,9783719.79,10000000.0,-2.1628021000000053,0.0,
2025-04-09,9783719.79,0,0.0,9783719.79,10000000.0,-2.1628021000000053,0.0,
2025-04-11,9783719.79,0,0.0,9783719.79,10000000.0,-2.1628021000000053,0.0,
2025-04-15,9783719.79,0,0.0,9783719.79,10000000.0,-2.1628021000000053,0.0,
2025-04-16,9783719.79,0,0.0,9783719.79,10000000.0,-2.1628021000000053,0.0,
2025-04-17,9783719.79,0,0.0,9783719.79,10000000.0,-2.1628021000000053,0.0,
2025-04-21,9783719.79,2,258785.79,9783719.79,10000000.0,-2.1628021000000053,0.0,
2025-04-22,9783719.79,2,258785.79,9837279.53,10000000.0,-1.6272047000000067,0.005474373873089133,
2025-04-23,9782801.59,1,129373.26,9827846.59,10000000.0,-1.7215340999999995,-0.0009588972206424629,
2025-04-24,9823093.96,0,0.0,9823093.96,10000000.0,-1.7690603999999888,-0.0004835881346413329,
2025-04-25,9823093.96,1,187506.93,9823093.96,10000000.0,-1.7690603999999888,0.0,
2025-04-28,9793780.44,0,0.0,9793780.44,10000000.0,-2.0621956000000052,-0.002984143297352859,
2025-04-29,9793780.44,0,0.0,9793780.44,10000000.0,-2.0621956000000052,0.0,
2025-04-30,9793780.44,0,0.0,9793780.44,10000000.0,-2.0621956000000052,0.0,
2025-05-02,9793780.44,0,0.0,9793780.44,10000000.0,-2.0621956000000052,0.0,
2025-05-05,9793780.44,1,190796.97,9793780.43,10000000.0,-2.0621957000000024,-1.0210561285362019e-09,
2025-05-06,9793780.44,1,190796.97,9841720.43,10000000.0,-1.582795700000006,0.004894943310465916,
2025-05-07,9792608.65,0,0.0,9792608.65,10000000.0,-2.073913499999991,-0.004990162070677595,
2025-05-08,9792608.65,0,0.0,9792608.65,10000000.0,-2.073913499999991,0.0,
2025-05-09,9792608.65,0,0.0,9792608.65,10000000.0,-2.073913499999991,0.0,
2025-05-12,9792608.65,1,194412.66,9792608.65,10000000.0,-2.073913499999991,0.0,
2025-05-13,9792608.65,1,194412.66,9771908.67,10000000.0,-2.280913299999998,-0.0021138371541070677,
2025-05-14,9792608.65,1,194412.66,9904328.65,10000000.0,-0.9567134999999949,0.013551086535072976,
2025-05-15,9887291.12,0,0.0,9887291.12,10000000.0,-1.127088800000009,-0.0017202104859476153,
2025-05-16,9887291.12,0,0.0,9887291.12,10000000.0,-1.127088800000009,0.0,-1.164622398262499
2025-05-19,9887291.12,1,267539.95,9887291.15,10000000.0,-1.1270884999999953,3.0341982260040368e-09,-1.1646220740640394
2025-05-20,9887291.12,1,267539.95,9874586.13,10000000.0,-1.254138699999996,-0.0012849849172287264,-1.3006106135241728
2025-05-21,9954312.76,0,0.0,9954312.76,10000000.0,-0.45687239999999685,0.008073921170000276,-0.42356354209006075
2025-05-22,9954312.76,0,0.0,9954312.76,10000000.0,-0.45687239999999685,0.0,-0.42356354209006075
2025-05-23,9954312.76,0,0.0,9954312.76,10000000.0,-0.45687239999999685,0.0,2.757854908040648
2025-05-26,9954312.76,2,388715.17,9954312.76,10000000.0,-0.45687239999999685,0.0,2.757854908040648
2025-05-27,9954312.76,2,388715.17,9976303.48,10000000.0,-0.23696519999999444,0.0022091650654545436,3.0969704005358247
2025-05-28,9954312.76,2,388715.17,10295525.25,10295525.25,0.0,0.031998001127367504,4.174709338446457
2025-05-29,10576175.78,0,0.0,10576175.78,10576175.78,0.0,0.027259466922292308,5.232713050006172
2025-05-30,10576175.78,0,0.0,10576175.78,10576175.78,0.0,0.0,5.232713050006172
2025-06-02,10576175.78,1,301233.56,10576175.75,10576175.78,-2.8365639836991363e-07,-2.8365639836991363e-09,5.232712841508623
2025-06-03,10576175.78,1,301233.56,10839050.78,10839050.78,0.0,0.024855395391855106,6.168857032408472
2025-06-04,10576175.78,1,301233.56,11051207.02,11051207.02,0.0,0.0195733228219086,6.666530391993533
2025-06-05,11210604.06,0,0.0,11210604.06,11210604.06,0.0,0.014423495977546219,7.4265086823279445
2025-06-06,11210604.06,0,0.0,11210604.06,11210604.06,0.0,0.0,7.4597189109748765
2025-06-09,11210604.06,1,477274.59,11210604.06,11210604.06,0.0,0.0,7.4597189109748765
2025-06-10,11210604.06,1,477274.59,11472099.09,11472099.09,0.0,0.023325685984489253,8.500985057750938
2025-06-11,11210604.06,1,477274.59,11550489.09,11550489.09,0.0,0.006833099974557388,8.90554401628626
2025-06-12,11207477.77,0,0.0,11207477.77,11550489.09,-2.9696692263617375,-0.029696692263617375,6.185062968276845
2025-06-13,11207477.77,0,0.0,11207477.77,11550489.09,-2.9696692263617375,0.0,6.185062968276845
2025-06-16,11207477.77,1,522941.01,11207477.82,11550489.09,-2.9696687934796295,4.4613071015220385e-09,6.185063252960977
2025-06-17,11207477.77,1,522941.01,11359375.29,11550489.09,-1.6545948704930646,0.013553225126971435,6.514190927719765
2025-06-18,11207477.77,1,522941.01,11408072.83,11550489.09,-1.2329890006415267,0.004286991032233178,7.011963542543979
2025-06-19,11380540.26,0,0.0,11380540.26,11550489.09,-1.4713561363140504,-0.0024134286667242266,6.877335342417621
2025-06-20,11380540.26,0,0.0,11380540.26,11550489.09,-1.4713561363140504,0.0,6.877335342417621
2025-06-23,11380540.26,2,898625.15,11380540.28,11550489.09,-1.4713559631612139,1.7573857924446656e-09,6.877335436414228
2025-06-24,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,-0.048531843516308015,3.7105302974571335
2025-06-25,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,0.0,3.2597298161759243
2025-06-26,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,0.0,3.323538960623829
2025-06-27,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,0.0,3.323538960623829
2025-06-30,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,0.0,3.323538849192941
2025-07-01,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,0.0,3.3711830002696432
2025-07-02,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,0.0,3.090524711584468
2025-07-03,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,0.0,3.090524711584468
2025-07-04,10828221.68,0,0.0,10828221.68,11550489.09,-6.253132697431085,0.0,3.090524711584468
2025-07-07,10828221.68,1,608206.8,10828221.68,11550489.09,-6.253132697431085,0.0,3.090524711584468
2025-07-08,10828221.68,1,608206.8,10974302.9,11550489.09,-4.988413784995826,0.013490785866511867,3.460930276296341
2025-07-09,10828221.68,1,608206.8,11166321.68,11550489.09,-3.3259839216037923,0.01749712776745027,3.099130285602625
2025-07-10,11336986.68,0,0.0,11336986.68,11550489.09,-1.848427441785494,0.015283905021801214,2.7603839618944184
2025-07-11,11336986.68,0,0.0,11336986.68,11550489.09,-1.848427441785494,0.0,2.7603839618944184
