Entry_Date,Exit_Date,Type,Strike,Spot,Premium,Exit_Price,Lots,Gross_PnL,Net_PnL,Exit_Reason,RV,IV,Risk_Scaled,Entry_Window,Partial_PnL,Streak_Mult
2025-04-04,2025-04-07,STRADDLE,22900,22904.449999999753,239.4,430.92,134,-641592.0,-649495.0,Stop Loss (1.8x),0.1315,0.1744,False,T-3,0.0,1.0
2025-04-25,2025-04-28,STRADDLE,24050,24039.350000000803,340.85,364.1,119,-69168.75,-76639.8,Time Exit (stale),0.213,0.2762,False,T-3,0.0,1.0
2025-05-05,2025-05-08,STRADDLE,24450,24461.149999999216,206.55,155.55,81,103274.96,98597.56,Time Exit (stale),0.2038,0.2648,False,T-3,0.0,0.7
2025-05-19,2025-05-21,STRADDLE,24950,24945.450000000288,309.45,267.7,115,120031.25,112946.75,Time Exit (stale),0.1774,0.2318,False,T-3,0.0,1.0
2025-05-26,2025-05-28,STRADDLE,25000,25001.14999999919,408.15,317.65,140,316750.0,307607.22,Time Exit (stale),0.1811,0.2363,False,T-3,0.0,1.2
2025-06-02,2025-06-05,STRADDLE,24700,24716.600000000755,441.05,43.8,146,1.230515e+06,1.2208002e+06,Profit Target (70%),0.1806,0.2358,False,T-3,386358.75,1.2
2025-06-09,2025-06-12,STRADDLE,25100,25103.200000000066,268.1,206.25,161,248946.27,239277.6,Time Exit (stale),0.1207,0.1608,False,T-3,0.0,1.2
2025-06-16,2025-06-18,STRADDLE,24950,24946.5,273.7,211.5,166,258130.05,248126.27,Time Exit (stale),0.107,0.1437,False,T-3,0.0,1.2
2025-06-23,2025-06-25,STRADDLE,24950,24971.899999999245,278.7,326.8,170,-204425.05,-214701.77,Time Exit (stale),0.0988,0.1336,False,T-3,0.0,1.2
2025-06-30,2025-07-03,STRADDLE,25500,25517.049999999956,255.15,92.5,136,553010.0,544908.75,Expiry Close +Partial,0.1064,0.143,False,T-3,231776.234375,1.0
2025-07-07,2025-07-10,STRADDLE,25450,25461.299999999996,229.25,89.8,142,495047.53,486726.75,Expiry Close +Partial,0.097,0.1312,False,T-3,205688.765625,1.0
2025-07-14,2025-07-16,STRADDLE,25100,25082.300000000054,207.35,156.7,181,229191.28,218733.9,Time Exit (stale),0.0882,0.1203,False,T-3,0.0,1.2
2025-07-21,2025-07-23,STRADDLE,25100,25090.699999999928,186.15,154.3,184,146509.97,136025.53,Time Exit (stale),0.0788,0.1085,False,T-3,0.0,1.2
2025-07-28,2025-07-30,STRADDLE,24700,24680.89999999929,213.55,200.35,189,62369.98,51406.45,Time Exit (stale),0.0697,0.0971,False,T-3,0.0,1.2
2025-08-04,2025-08-06,STRADDLE,24700,24722.75,237.0,176.15,190,289037.53,277848.9,Time Exit (stale),0.0824,0.113,False,T-3,0.0,1.2
2025-08-11,2025-08-14,STRADDLE,24600,24585.05000000008,206.5,37.05,195,826068.75,814808.75,Profit Target (70%),0.0908,0.1235,False,T-3,0.0,1.2
2025-08-18,2025-08-20,STRADDLE,24900,24876.949999999884,221.1,184.8,205,186037.44,174087.73,Time Exit (stale),0.0974,0.1317,False,T-3,0.0,1.2
2025-08-22,2025-08-26,STRADDLE,24850,24870.100000000723,233.5,172.95,207,313346.25,301183.72,Time Exit (stale),0.0969,0.1311,False,T-3,0.0,1.2
2025-08-28,2025-09-01,STRADDLE,24500,24500.899999999277,234.4,170.75,215,342118.8,329478.97,Time Exit (stale),0.0993,0.1342,False,T-3,0.0,1.2
2025-09-04,2025-09-09,STRADDLE,24750,24734.30000000017,200.0,114.95,218,463522.47,450987.53,Expiry Close,0.0983,0.1329,False,T-3,0.0,1.2
2025-09-11,2025-09-15,STRADDLE,25000,25005.5,190.75,138.45,222,290265.0,277577.0,Time Exit (stale),0.085,0.1163,False,T-3,0.0,1.2
2025-09-18,2025-09-22,STRADDLE,25400,25423.600000000744,171.5,189.95,222,-102397.48,-114925.22,Time Exit (stale),0.0812,0.1115,False,T-3,0.0,1.2
2025-09-25,2025-09-29,STRADDLE,24900,24890.85000000072,201.35,234.4,188,-155334.94,-166154.45,Time Exit (stale),0.0663,0.0928,False,T-3,0.0,1.0
2025-10-01,2025-10-06,STRADDLE,24850,24836.300000000127,191.5,261.95,130,-228962.55,-236396.1,Time Exit (stale),0.0737,0.1021,False,T-3,0.0,0.7
2025-10-09,2025-10-13,STRADDLE,25200,25181.800000000105,171.0,120.4,126,159389.98,152282.02,Time Exit (stale),0.0788,0.1086,False,T-3,0.0,0.7
